Window size: 10
Server error Rate: 5
expRTT,jitter,timeoutValue
1.0E8,1.0,100000000
8.9101814E7,1.907182625E7,165389119
7.97214225E7,3.07195548125E7,202599641
7.11811004375E7,3.798522971875E7,223122019
6.39099286328125E7,4.1213472947265625E7,228763820
5.750722255371094E7,4.211484034887695E7,225966583
5.195469648449707E7,4.130305088278198E7,217166900
4.704884742393494E7,3.956252401807022E7,205298943
4.263415924594307E7,3.739759732503843E7,192224548
3.9044760340200186E7,3.432964607882887E7,176363344
3.640678492267516E7,3.0363691539790444E7,157861551
3.442748318234077E7,2.6236546700428024E7,139373669
3.442748318234077E7,2.6236546700428024E7,278747338
3.442748318234077E7,2.6236546700428024E7,500000000
3.1597559284548175E7,2.4629776846458063E7,130116666
3.1597559284548175E7,2.4629776846458063E7,260233332
2.8004019873979654E7,2.476102660333846E7,127048126
2.6077832389732197E7,2.1941598049936894E7,113844224
2.4802915966015674E7,1.8687302278956592E7,99552125
2.3872024095263716E7,1.5644537483033374E7,86450174
2.269239695835575E7,1.379775060186397E7,77883399
2.242208946356128E7,1.0821351067288298E7,65707493
2.230313240561612E7,8324188.1518702535,55599885
2.2687442104914106E7,6915683.087674163,50350174
2.3381418716799844E7,6401221.386555661,48986304
2.4822914252199862E7,7323533.226866781,54117047
2.494085897067488E7,5699053.177481365,47737071
2.494085897067488E7,5699053.177481365,95474142
2.494085897067488E7,5699053.177481365,190948284
2.392050322434052E7,6059912.4391961545,48160152
2.392050322434052E7,6059912.4391961545,96320304
2.1023984821297955E7,9613841.534721605,59479350
2.018654684363571E7,8675897.611950133,54890137
1.941902298818125E7,7850089.956007912,50819382
1.8419192489658594E7,7637270.839420582,48968275
1.758293255345127E7,7191408.017928254,46348564
1.685272560926986E7,6671418.165763656,43538398
1.710726828311113E7,5449013.30354496,38903321
1.752321662272224E7,4814669.57197816,36781894
1.784378929488196E7,4172004.3552631307,34531806
1.7632141383021712E7,3499387.112202776,31629689
1.7988383460144E7,3247963.9691160824,30980239
1.7988383460144E7,3247963.9691160824,61960478
1.7988383460144E7,3247963.9691160824,123920956
1.6836570777626E7,4451645.171243561,34643151
1.6836570777626E7,4451645.171243561,69286302
1.630362993042275E7,4271380.361038359,33389151
1.5749749939119905E7,4172825.2555587455,32441050
1.5265364446729917E7,3977293.5533515383,31174538
1.4896502015888678E7,3628479.418985823,29410419
1.4727541513902593E7,3017040.4427150157,26795703
1.452724832466477E7,2613293.4132024543,24980421
1.4285026659081673E7,2383857.974672259,23820458
1.3909067701696465E7,2445821.65642831,23692354
1.3559240488984406E7,2446563.864567334,23345495
1.3299113177861355E7,2290145.692890839,22459695
1.3440123530628685E7,1964377.387010958,21297633
1.3440123530628685E7,1964377.387010958,42595266
1.3440123530628685E7,1964377.387010958,85190532
1.31367960893001E7,2004106.0625832435,21153220
1.31367960893001E7,2004106.0625832435,42306440
1.2926955453137588E7,1870300.6602218295,20408158
1.3079209771495389E7,1669170.5522925248,19755891
1.3258990550058465E7,1566494.2767047773,19524967
1.3225541231301157E7,1233407.0153538722,18159169
1.3137784202388512E7,1078630.062112532,17452304
1.3057800677089948E7,948943.7158568861,16853575
1.2981716592453705E7,844854.9350060909,16361136
1.2757352643396992E7,1026278.1121038162,16862465
1.2757352643396992E7,1026278.1121038162,33724930
1.2971527062972369E7,1144513.81833477,17549582
1.2971527062972369E7,1144513.81833477,35099164
1.3023977930100823E7,950174.3812258717,16824675
1.374058293883822E7,1966689.5512098488,21607341
