Window size: 10
Server error Rate: 5
expRTT,jitter,timeoutValue
1.0E8,1.0,100000000
8.96978195E7,1.8028816625E7,161813086
8.21466846875E7,2.6736098390625E7,189091078
7.36821729765625E7,3.4864969287109375E7,213142050
6.787581147949219E7,3.630985958520508E7,213115249
6.1882231294555664E7,3.7721160012542725E7,212766871
5.6469014257736206E7,3.7763999823841095E7,207525013
5.253875647551918E7,3.520095098676062E7,193342560
4.896304391607928E7,3.2658210219090283E7,179595884
4.449366692656937E7,3.2315067395960055E7,173753936
4.0476970810748205E7,3.126551874965709E7,165539045
3.715421608440468E7,2.9263959833343986E7,154210055
3.715421608440468E7,2.9263959833343986E7,308420110
3.715421608440468E7,2.9263959833343986E7,500000000
3.385184544885409E7,2.7727118487221513E7,144760319
3.385184544885409E7,2.7727118487221513E7,289520638
3.1071706892747328E7,2.5660581338602968E7,133714032
2.874766478115391E7,2.3312509699240707E7,121997703
2.673341405850967E7,2.1009321039057948E7,110770698
2.503651192619596E7,1.872656951084245E7,99942789
2.3481891810421467E7,1.6765512335737204E7,90543941
2.2065463084118783E7,1.5052884522832599E7,82277001
2.1512107948603936E7,1.2258034879275432E7,70544247
2.2298125830028445E7,1.0569057451949462E7,64574355
2.298485322627489E7,9128566.032393374,59499117
2.298485322627489E7,9128566.032393374,118998234
2.298485322627489E7,9128566.032393374,237996468
2.154540832299053E7,9365453.105042662,59007220
2.0629937532616712E7,8626163.711936176,55134592
