Window size: 10
Server error Rate: 3
expRTT,jitter,timeoutValue
1.0E8,1.0,100000000
8.9312315875E7,1.870344796875E7,164126107
8.0230308015625E7,2.992109973046875E7,199914706
7.197500088867188E7,3.688761227001953E7,219525449
6.455255352758789E7,4.065499208441162E7,227172521
5.8185560711639404E7,4.163348149121857E7,224719486
5.249197574768448E7,4.1188884805335045E7,217247514
4.821401227922392E7,3.837809967380726E7,201726410
4.821401227922392E7,3.837809967380726E7,403452820
4.821401227922392E7,3.837809967380726E7,500000000
4.821401227922392E7,3.837809967380726E7,500000000
4.373395736932093E7,3.662367084768568E7,190228640
3.984695457315581E7,3.427000802905321E7,176926986
3.6480522001511335E7,3.1593763022167742E7,162855574
3.363983512632242E7,2.866652429820641E7,148305932
3.0939701860532116E7,2.6225126438787837E7,135840207
2.8968188127965603E7,2.311899386108228E7,121444163
2.8968188127965603E7,2.311899386108228E7,242888326
2.6757724611969903E7,2.1207556548804183E7,111587950
2.6757724611969903E7,2.1207556548804183E7,223175900
2.6757724611969903E7,2.1207556548804183E7,446351800
2.4943183160473667E7,1.9081114951721556E7,101267642
2.4943183160473667E7,1.9081114951721556E7,202535284
2.3531942140414458E7,1.678050799889478E7,90653974
2.2062703997862652E7,1.5156547748636749E7,82688894
2.0742806248129822E7,1.3677231873510016E7,75451733
1.9604523092113595E7,1.224991942816091E7,68604200
1.8705168205599397E7,1.0761310622520532E7,61750410
1.8531837554899473E7,8374311.6056152675,52029083
1.8064314735537037E7,7098898.63809571,46459909
1.8064314735537037E7,7098898.63809571,92919818
1.8064314735537037E7,7098898.63809571,185839636
1.8064314735537037E7,7098898.63809571,371679272
1.7184884268594906E7,6863177.295720509,44637593
1.6425325610020543E7,6476610.624295518,42331768
1.6425325610020543E7,6476610.624295518,84663536
1.5778877533767974E7,5988742.101663632,39733845
1.5778877533767974E7,5988742.101663632,79467690
1.5778877533767974E7,5988742.101663632,158935380
1.5155745592046978E7,5582037.474259468,37483895
