Window size: 100
Server error Rate: 1000
expRTT,jitter,timeoutValue
79875980,7.301554308014327E7,8228465.7363047665,105929406
79974900,7.388546269512537E7,7693708.628447232,104660297
80065418,7.46579571082347E7,7122146.694276748,103146543
80161162,7.534585771970537E7,6545436.090781217,101527602
77190018,7.55763777547422E7,5312487.129400361,96826326
77097340,7.576649803539944E7,4317075.838200412,93034801
77302793,7.59585349059745E7,3573871.4021566818,90254020
76614898,7.60405802927277E7,2823982.978435588,87336512
76721936,7.612574975613673E7,2267033.7947925087,85193884
78019239,7.636243591161963E7,2114476.118189473,84820340
77817314,7.654429567266718E7,1904111.670475311,84160742
78130199,7.674253358858378E7,1775000.1057105376,83842534
77046047,7.67804727650108E7,1397643.6380302021,82371047
78820649,7.703549479438445E7,1494521.2799265392,83013579
79627934,7.735954969508639E7,1687987.0361733069,84111497
78877094,7.75492427332006E7,1597953.0938298316,83941055
78390586,7.765441064155053E7,1382508.6599847423,83184445
79780451,7.792016568635671E7,1501952.8233993796,83927976
80387598,7.822859472556213E7,1666215.4361590033,84893456
80503132,7.851291188486686E7,1747216.6059025365,85501778
81354282,7.886808314925851E7,1931962.167112275,86595931
78357790,7.88042965056012E7,1560598.2517345056,85046689
80141026,7.897138769240105E7,1462858.2657006164,84822820
81275588,7.925941273085092E7,1601187.5165627324,85664162
80268389,7.938553476449455E7,1421604.196298411,85071951
81169917,7.960858254393274E7,1456536.7612406244,85434729
80095108,7.966939822594115E7,1198830.0144451805,84464718
80095108,7.966939822594115E7,1198830.0144451805,168929436
80095108,7.966939822594115E7,1198830.0144451805,337858872
80095108,7.966939822594115E7,1198830.0144451805,500000000
80095108,7.966939822594115E7,1198830.0144451805,500000000
80095108,7.966939822594115E7,1198830.0144451805,500000000
80095108,7.966939822594115E7,1198830.0144451805,500000000
80095108,7.966939822594115E7,1198830.0144451805,500000000
80095108,7.966939822594115E7,1198830.0144451805,500000000
80095108,7.966939822594115E7,1198830.0144451805,500000000
80095108,7.966939822594115E7,1198830.0144451805,500000000
80095108,7.966939822594115E7,1198830.0144451805,500000000
80095108,7.966939822594115E7,1198830.0144451805,500000000
80095108,7.966939822594115E7,1198830.0144451805,500000000
80010135,7.97119903226985E7,973658.6801592595,83606625
77798737,7.94728336573612E7,1148768.1744597433,84067906
76983260,7.916163695019105E7,1406170.3683925702,84786318
77415830,7.894341108141717E7,1436523.046648721,84689503
77182070,7.872324344624002E7,1462685.6465465464,84573986
77284970,7.854345926546001E7,1411636.5512749134,84190005
77686904,7.843638985727751E7,1246098.8777755632,83420785
77607483,7.833277650011782E7,1115897.5333611283,82796366
77170409,7.81874805626031E7,1091191.0406716214,82552244
77826036,7.814229999227771E7,897459.278573144,81732137
77019272,7.8001921493243E7,918756.8322406064,81676948
-6962428,6.738137780658762E7,1.927501907582736E7,144481454
-553487,5.888951970576417E7,2.9317015983311564E7,176157583
